,Rank,Name,Total,Singles,Doubles
0,1,"SABALENKA, ARYNA","7,369,635","7,362,685","6,950"
1,2,"GAUFF, COCO","5,557,372","4,903,882","653,490"
2,3,"SWIATEK, IGA","5,455,686","5,455,686",
3,4,"RYBAKINA, ELENA","4,695,437","4,631,334","64,103"
4,5,"VONDROUSOVA, MARKETA","4,242,953","4,104,203","138,750"
5,6,"PEGULA, JESSICA","4,176,912","3,471,367","653,490"
6,7,"MUCHOVA, KAROLINA","2,804,438","2,796,338","8,100"
7,8,"JABEUR, ONS","2,725,489","2,706,604","18,885"
8,9,"KVITOVA, PETRA","2,436,381","2,436,381",
9,10,"KEYS, MADISON","2,356,458","2,339,898","16,560"
10,11,"SAKKARI, MARIA","2,210,895","2,205,621","5,274"
11,12,"HADDAD MAIA, BEATRIZ","1,991,822","1,659,666","332,156"
12,13,"KREJCIKOVA, BARBORA","1,974,093","1,444,599","529,494"
13,14,"OSTAPENKO, JELENA","1,821,538","1,602,108","197,006"
14,15,"AZARENKA, VICTORIA","1,715,267","1,435,758","279,509"
15,16,"MERTENS, ELISE","1,660,488","1,117,130","543,358"
16,17,"LINETTE, MAGDA","1,633,753","1,438,007","195,746"
17,18,"BENCIC, BELINDA","1,601,928","1,551,101","50,827"
18,19,"GARCIA, CAROLINE","1,515,577","1,437,515","78,062"
19,20,"CIRSTEA, SORANA","1,459,955","1,459,955",
20,21,"SVITOLINA, ELINA","1,457,493","1,457,493",
21,22,"ALEXANDROVA, EKATERINA","1,369,316","1,269,365","99,951"
22,23,"KASATKINA, DARIA","1,366,367","1,333,062","33,305"
23,24,"KUDERMETOVA, VERONIKA","1,348,131","1,155,918","192,213"
24,25,"SAMSONOVA, LIUDMILA","1,322,086","1,138,793","175,543"
25,26,"WANG, XINYU","1,239,289","823,102","416,187"
26,27,"VEKIC, DONNA","1,238,901","1,179,564","59,337"
27,28,"BOUZKOVA, MARIE","1,201,799","1,000,852","200,947"
28,29,"ZHENG, QINWEN","1,151,037","1,151,037",
29,30,"TREVISAN, MARTINA","1,135,189","1,070,456","64,733"
30,31,"PLISKOVA, KAROLINA","1,061,629","1,013,744","47,885"
31,32,"POTAPOVA, ANASTASIA","1,060,767","987,033","73,734"
32,33,"PERA, BERNARDA","1,056,196","891,525","156,921"
33,34,"SINIAKOVA, KATERINA","1,037,431","487,186","550,245"
34,35,"KALININA, ANHELINA","1,034,479","945,293","89,186"
35,36,"TOWNSEND, TAYLOR","1,030,330","544,683","429,223"
36,37,"FERNANDEZ, LEYLAH","1,026,988","684,958","334,280"
37,38,"KOSTYUK, MARTA","1,011,969","746,753","231,216"
38,39,"HUNTER, STORM","983,088","397,601","566,933"
39,40,"MARTIC, PETRA","973,136","951,876","21,260"
40,41,"TSURENKO, LESIA","879,197","879,197",
41,42,"HSIEH, SU-WEI","874,834","52,370","805,364"
42,43,"COLLINS, DANIELLE","856,429","751,601","104,828"
43,44,"ZHU, LIN","842,487","765,051","77,436"
44,45,"BEGU, IRINA-CAMELIA","835,407","753,906","81,501"
45,46,"KENIN, SOFIA","814,819","766,167","48,652"
0,47,"BRONZETTI, LUCIA","803,628","769,515","34,113"
1,48,"GRACHEVA, VARVARA","800,934","764,755","36,179"
2,49,"SIEGEMUND, LAURA","791,053","454,009","333,044"
3,50,"PAVLYUCHENKOVA, ANASTASIA","769,463","689,118","80,345"
4,51,"ANDREESCU, BIANCA","758,434","688,424","9,010"
5,52,"STEPHENS, SLOANE","748,591","724,801","23,790"
6,53,"SHERIF, MAYAR","724,391","652,014","72,377"
7,54,"DOLEHIDE, CAROLINE","723,848","525,806","198,042"
8,55,"STEARNS, PEYTON","721,466","650,670","70,796"
9,56,"SCHMIEDLOVA, ANNA KAROLINA","716,919","708,213","8,706"
10,57,"PARKS, ALYCIA","714,255","498,012","209,143"
11,58,"BLINKOVA, ANNA","708,188","660,253","47,935"
12,59,"SORRIBES TORMO, SARA","705,028","550,029","154,999"
13,60,"STRYCOVA, BARBORA","690,011","230,921","443,490"
14,61,"COCCIARETTO, ELISABETTA","680,627","643,695","36,932"
15,62,"PUTINTSEVA, YULIA","675,375","617,857","57,518"
16,63,"FRUHVIRTOVA, LINDA","671,941","610,925","61,016"
17,64,"PAOLINI, JASMINE","668,675","597,249","71,426"
18,65,"ZHANG, SHUAI","660,219","457,267","188,398"
19,66,"SASNOVICH, ALIAKSANDRA","655,551","582,922","72,629"
20,67,"BUCSA, CRISTINA","655,139","576,691","78,448"
21,68,"ANDREEVA, MIRRA","652,857","637,283","15,574"
22,69,"GIORGI, CAMILA","650,880","650,880",
